% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 18.09    0.001349          14        92         2 openat
 11.32    0.000844          84        10           fdatasync
 10.20    0.000761           8        90           close
  9.71    0.000724           9        76           write
  7.67    0.000572          57        10           fsync
  6.68    0.000498           5        86           fcntl
  6.07    0.000453          50         9           rename
  5.20    0.000388           5        76           newfstatat
  4.56    0.000340           6        53           read
  4.05    0.000302           3        93           mmap
  2.71    0.000202          16        12           fallocate
  2.48    0.000185           4        46           getdents64
  2.44    0.000182          36         5           ftruncate
  2.27    0.000169          14        12           unlink
  1.57    0.000117           9        13        11 mkdir
  1.56    0.000116           4        28        26 readlink
  1.18    0.000088           4        22           fstatfs
  1.15    0.000086           7        11         8 access
  0.54    0.000040           2        14           sync_file_range
  0.52    0.000039          19         2           rmdir
  0.04    0.000003           3         1           lseek
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.007458           9       766        47 total
